iter	Logloss
0	0.6756129732
1	0.6623477998
2	0.6490576425
3	0.6368970738
4	0.627612992
5	0.6187428973
6	0.6114478272
7	0.6053927458
8	0.5998611204
9	0.5939276163
10	0.5893209418
11	0.5839170299
12	0.5796068745
13	0.5753633975
14	0.5704815169
15	0.5668258731
16	0.5640840032
17	0.561405634
18	0.558182222
19	0.5546709477
20	0.5518279918
21	0.5493499318
22	0.5465632444
23	0.5447975534
24	0.5433124378
25	0.5421401137
26	0.5390779463
27	0.5379104436
28	0.5358130589
29	0.5343794451
30	0.5327451934
31	0.5320034026
32	0.5308122858
33	0.529356592
34	0.5280486646
35	0.5266978373
36	0.5257154673
37	0.5243125355
38	0.5227323059
39	0.5218713486
40	0.5208507905
41	0.5200079137
42	0.5192453031
43	0.5181190567
44	0.5170491335
45	0.5164242081
46	0.5159455698
47	0.5153900075
48	0.5149224914
49	0.5140454261
50	0.5136216318
51	0.5128955656
52	0.5125709945
53	0.5117526084
54	0.5106606052
55	0.5103761946
56	0.5101627907
57	0.5100371043
58	0.5094963899
59	0.5085899029
60	0.5080243141
61	0.5074936261
62	0.5070950348
63	0.5068317728
64	0.5061275126
65	0.5058108311
66	0.5047586597
67	0.5039340825
68	0.5039334798
69	0.5034594986
70	0.5031307087
71	0.503130106
72	0.5031295033
73	0.5029656837
74	0.5028941838
75	0.5027672373
76	0.5023363751
77	0.5018044817
78	0.501804153
79	0.501273191
80	0.5009782609
81	0.5008636967
82	0.5008635323
83	0.5007536252
84	0.5007329149
85	0.5007326957
86	0.5005965994
87	0.5004441759
88	0.4996850718
89	0.4995115544
90	0.4989195025
91	0.4987476837
92	0.4987329454
93	0.4981768352
94	0.4981125674
95	0.4976082878
96	0.4968408009
97	0.496651066
98	0.4964646184
99	0.495811367
100	0.4957374016
101	0.4957290188
102	0.4957223346
103	0.4957169652
104	0.4957126917
105	0.4954526074
106	0.4954492653
107	0.49532588
108	0.4952250679
109	0.4949307404
110	0.4947782074
111	0.4943247721
112	0.4941519122
113	0.4940311569
114	0.4940289653
115	0.4934732386
116	0.4934717593
117	0.4933268419
118	0.492922169
119	0.492655017
120	0.492561711
121	0.4924883483
122	0.4924588717
123	0.492396412
124	0.4923681956
125	0.492276095
126	0.4922746704
127	0.4919633035
128	0.4918340558
129	0.4916420198
130	0.4916186248
131	0.4914910756
132	0.4913801822
133	0.4911336309
134	0.4911139068
135	0.4910971961
136	0.4910829509
137	0.4906575129
138	0.4906495137
139	0.4902214458
140	0.4902188707
141	0.4902168435
142	0.4899128184
143	0.4899040521
144	0.4898458112
145	0.4898392913
146	0.4898374284
147	0.4898360039
148	0.4896072043
149	0.4896056702
150	0.4895999173
151	0.489598712
152	0.4895977258
153	0.4895264998
154	0.4894140176
155	0.4894129219
156	0.4893028504
157	0.4893020833
158	0.4892749627
159	0.4892361719
160	0.4892350762
161	0.4887518356
162	0.4887509042
163	0.4883072761
164	0.4883066187
165	0.4883059612
166	0.4883054681
167	0.4881249377
168	0.488124609
169	0.4881243899
170	0.4881241707
171	0.4881240063
172	0.4881238968
173	0.4879203001
174	0.4879201906
175	0.4879200262
176	0.487906822
177	0.4879067124
178	0.4878856186
179	0.4876824603
180	0.4873067161
181	0.4873066613
182	0.4873017303
183	0.4872809652
184	0.4872734043
185	0.4870481111
186	0.4870480016
187	0.4870284418
188	0.4870241135
189	0.4868560203
190	0.4868408985
191	0.4866862834
192	0.4863829705
193	0.4863827513
194	0.4863789161
195	0.4863502065
196	0.4862720224
197	0.4862717484
198	0.4862629822
199	0.4862628178
200	0.4859647646
201	0.4859606554
202	0.4859127697
203	0.485657233
204	0.4856461108
205	0.4856461108
206	0.485642659
207	0.4856394265
208	0.4856365226
209	0.4856363035
210	0.4855976771
211	0.4855163152
212	0.4855139045
213	0.485345099
214	0.4853450442
215	0.4853236764
216	0.4852519574
217	0.4852497658
218	0.4852497658
219	0.4851298323
220	0.4850388822
221	0.485036855
222	0.4850285819
223	0.4850267738
224	0.4850250754
225	0.4847114621
226	0.4847114073
227	0.4845661612
228	0.4845649558
229	0.4845647914
230	0.4845647914
231	0.4845632573
232	0.4844179016
233	0.4844177921
234	0.4844174085
235	0.4843810833
236	0.4842593417
237	0.4842588486
238	0.48409607
239	0.4840899336
240	0.4840628677
241	0.4840628129
242	0.4840624842
243	0.484048513
244	0.4840484582
245	0.4840483486
246	0.4840404042
247	0.4840404042
248	0.4840398563
249	0.4840395823
250	0.4840393084
251	0.4840390892
252	0.4840389249
253	0.4840388153
254	0.4839288534
255	0.4839287986
256	0.483928689
